"E","N"
NA,NA
384638.395,6461177.949
384685.7264,6461180.091
NA,NA
384894.3688,6461537.425
384883.85,6461539.011
NA,NA
NA,NA
384839.482,6461610.244
384879.7476,6461610.586
384881.141,6461610.601
NA,NA
NA,NA
384281.0821,6462049.582
384375.2496,6462011.58
NA,NA
384476.8324,6461242.339
384463.0074,6461261.529
NA,NA
384685.7264,6461180.091
384723.6165,6461184.579
384724.6187,6461184.687
384725.6218,6461184.809
384726.6251,6461184.917
NA,NA
384893.663,6461549.71
384894.3688,6461537.425
NA,NA
384274.0887,6462049.586
384279.0856,6462049.573
NA,NA
384839.482,6461610.244
384835.3005,6461610.21
384833.3042,6461610.187
384735.1395,6461609.274
384734.135,6461609.263
384733.1317,6461609.252
384732.1273,6461609.24
384583.291,6461607.867
384721.5949,6461607.861
384721.874,6461571.555
384721.8749,6461571.472
NA,NA
384596.7542,6461179.266
384596.763,6461179.503
384596.79,6461181.263
384597.4783,6461224.966
384597.493,6461225.797
NA,NA
384882.7508,6461608.264
384882.2527,6461609.519
NA,NA
384595.3574,6461179.555
384595.5692,6461179.544
384596.5741,6461179.514
384596.763,6461179.503
384597.5791,6461179.47
384598.5715,6461179.425
384617.7032,6461178.714
384618.6955,6461178.683
384619.712,6461178.638
384620.7043,6461178.608
384638.395,6461177.949
NA,NA
NA,NA
NA,NA
NA,NA
384891.465,6461624.286
384884.9091,6461624.28
384884.5545,6461624.276
NA,NA
384472.4246,6461397.157
384294.8868,6461290.324
384293.6436,6461289.576
384293.6436,6461289.576
384292.3903,6461289.616
384215.6262,6461291.297
384215.6262,6461291.297
384215.3197,6461193.328
NA,NA
384907.9518,6461643.526
384978.8939,6461644.034
384980.8894,6461644.028
385021.7827,6461644.322
385023.778,6461644.331
385033.0508,6461644.38
385034.8343,6461644.4
NA,NA
384462.0677,6461449.481
384459.7076,6461448.035
384457.3475,6461447.292
384454.9874,6461447.101
384452.6273,6461446.737
NA,NA
384881.2051,6461539.897
384881.1886,6461609.521
NA,NA
NA,NA
384881.141,6461610.601
384881.1377,6461612.015
384881.1382,6461623.449
384881.1341,6461625.942
384881.1475,6461641.52
384881.1444,6461642.808
384881.1444,6461642.808
384882.3855,6461642.836
384907.9518,6461643.526
NA,NA
384461.2838,6461000
384461.2838,6461263.505
384495.1729,6461378.567
NA,NA
384597.493,6461225.797
384597.5851,6461226.962
384599.106,6461247.088
384599.1161,6461247.31
384599.6573,6461252.68
384599.5558,6461253.358
384582.4466,6461367.745
